Timestamp,ID No.,Age range,Gender,Country,Where did you hear about Everything Data?,How many years of learning experience do you have in the field of data?,Which track are you applying for?,How many hours per week can you commit to learning?,What is your main aim for joining the mentorship program?,What is your motivation to join the Everything Data mentorship program?,How best would you describe your skill level in the track you are applying for?,Have you completed the everything data aptitude test for your track?,Total score,Graduated
12/3/2024 16:25:30,DA301,18-24 years,Female,Kenya,WhatsApp,Less than six months,Data analysis,more than 14 hours,Learn data afresh,The hands-on program offers valuable real-world experience and mentorship to bridge the gap between theory and practice. It aligns with my goal of building a career in data analysis while contributing meaningfully to data-driven solutions.,Elementary - I have theoretical understanding of basic data analysis/ data science concepts,Yes,67.33,Yes
12/2/2024 18:17:15,DA302,18-24 years,Male,Kenya,Twitter,Less than six months,Data analysis,7-14 hours,Build a project portfolio,The mentorship will be a catalytic opportunity to be an overall erudite professional who yields the ability to hold a dynamic perspective in addressing finance issues using both data skills and domain knowledge in finance and its principles.,Beginner - I have NO learning or work experience in data analysis/ data science,Yes,62.00,No
11/29/2024 8:05:14,DA303,18-24 years,Male,Kenya,WhatsApp,6 months - 1 year,Data analysis,7-14 hours,Upskill,Desire to learn,Beginner - I have NO learning or work experience in data analysis/ data science,Yes,74.00,No
11/28/2024 21:37:53,DA304,25-34 years,Male,Kenya,Twitter,1-3 years,Data analysis,7-14 hours,Build a project portfolio,My background knowledge in Computer Science drives me to keep learning Data field. I am passionate about applying data knowledge to solve daily life problems. I am always in way out to keep up with latest technology.,Elementary - I have theoretical understanding of basic data analysis/ data science concepts,Yes,65.33,No
12/3/2024 17:15:14,DA305,18-24 years,Male,Kenya,LinkedIn,6 months - 1 year,Data analysis,more than 14 hours,Build a project portfolio,"To horn my skills in data analysis
Land a data analyst role e.g an internship
Connect and collaborate with my fellow data analysts
Set up a learning platform to help upcoming data analysts shape their skills",Intermediate - I have theoretical knowledge and experience in data analysis/ data science,Yes,69.33,No
11/27/2024 13:59:21,DA306,25-34 years,Male,Kenya,WhatsApp,Less than six months,Data analysis,7-14 hours,Upskill,The program is designed to accomodate anyone willing to learn.,Beginner - I have NO learning or work experience in data analysis/ data science,Yes,64.00,No
12/2/2024 20:03:27,DA307,25-34 years,Female,Kenya,Twitter,Less than six months,Data analysis,less than 6 hours,Upskill,Life is a continuous learning process and always strive to learn as much as you can.,Beginner - I have NO learning or work experience in data analysis/ data science,Yes,63.50,No
12/1/2024 14:40:53,DA308,18-24 years,Male,Kenya,WhatsApp,6 months - 1 year,Data analysis,7-14 hours,Upskill,Upskilling,Elementary - I have theoretical understanding of basic data analysis/ data science concepts,Yes,68.33,No
11/27/2024 9:15:49,DA309,25-34 years,Male,Kenya,Twitter,Less than six months,Data analysis,7-14 hours,Upskill,My motivations is having access to mentors and connecting with peers enthusiastic about data,Beginner - I have NO learning or work experience in data analysis/ data science,Yes,70.33,Yes
12/2/2024 16:09:07,DA310,18-24 years,Male,Kenya,LinkedIn,1-3 years,Data analysis,more than 14 hours,Upskill,"To enhance my data analytics skills, gain insights from experienced mentors and advance my career in data-driven industries. This opportunity aligns with my passion for using data to drive impactful solutions and growth",Intermediate - I have theoretical knowledge and experience in data analysis/ data science,Yes,68.33,Yes
12/1/2024 16:25:14,DA311,25-34 years,Male,Kenya,LinkedIn,6 months - 1 year,Data analysis,more than 14 hours,Upskill,I want to join the Everything Data mentorship to leverage data-driven insights for my e-mobility startup. I’m eager to learn from experts and contribute to this vibrant community.,Elementary - I have theoretical understanding of basic data analysis/ data science concepts,Yes,69.67,No
11/27/2024 20:21:32,DA312,18-24 years,Male,Kenya,Twitter,6 months - 1 year,Data analysis,less than 6 hours,Upskill,To find a community like minded individuals so that I can learn from them and improve my skills. Self-learning is hard at the moment,Intermediate - I have theoretical knowledge and experience in data analysis/ data science,Yes,80.00,No
12/3/2024 15:18:59,DA313,18-24 years,Female,Kenya,Word of mouth,6 months - 1 year,Data analysis,7-14 hours,Upskill,"I have strong passion for data analysis. After my graduation, I have been learning data analysis through YouTube videos. This mentorship will allow me to sharpen my skills and position myself for a successful career in data analysis.",Elementary - I have theoretical understanding of basic data analysis/ data science concepts,Yes,60.33,No
11/30/2024 9:50:29,DA314,18-24 years,Female,Kenya,Word of mouth,Less than six months,Data analysis,less than 6 hours,Upskill,My motivation to join the Everything Data mentorship program roots from my passion for Astrophysics and Astronomy and the need to leverage data from this fields to solve real-world problems through data-driven research under mentorship from experts.,Elementary - I have theoretical understanding of basic data analysis/ data science concepts,Yes,66.00,Yes
11/28/2024 16:27:08,DA315,18-24 years,Male,Kenya,LinkedIn,6 months - 1 year,Data analysis,more than 14 hours,Upskill,To get an opportunity to advance in my career as I also sharpen my skills,Elementary - I have theoretical understanding of basic data analysis/ data science concepts,Yes,79.50,No
11/27/2024 12:14:24,DA316,18-24 years,Male,Kenya,WhatsApp,1-3 years,Data analysis,7-14 hours,Upskill,Learning more on data,Elementary - I have theoretical understanding of basic data analysis/ data science concepts,Yes,69.00,No
11/28/2024 20:17:51,DA317,25-34 years,Male,Kenya,Twitter,6 months - 1 year,Data analysis,more than 14 hours,Upskill,Leaening with more experinced and mentors is a great opportunity,Intermediate - I have theoretical knowledge and experience in data analysis/ data science,Yes,73.00,No
12/2/2024 22:29:23,DA318,18-24 years,Male,Kenya,Twitter,Less than six months,Data analysis,more than 14 hours,Learn data afresh,To learn more about data and upskill,Elementary - I have theoretical understanding of basic data analysis/ data science concepts,Yes,62.50,No
12/2/2024 16:25:30,DA319,25-34 years,Male,Kenya,Twitter,Less than six months,Data analysis,7-14 hours,Upskill,"To connect with other professionals in data, and obtain mentorships and networks for career development",Elementary - I have theoretical understanding of basic data analysis/ data science concepts,Yes,70.67,No
11/27/2024 9:19:43,DA320,25-34 years,Male,Kenya,Twitter,6 months - 1 year,Data analysis,7-14 hours,Upskill,I attended the graduation of the previous cohort and it was exciting,Intermediate - I have theoretical knowledge and experience in data analysis/ data science,Yes,77.67,No
12/3/2024 10:14:52,DA321,18-24 years,Male,Kenya,Twitter,Less than six months,Data analysis,more than 14 hours,Learn data afresh,I've always wanted to start my data analytics journey but didn't have a means to start,Beginner - I have NO learning or work experience in data analysis/ data science,Yes,70.67,No
