Timestamp,Id. No,Age range,Gender,Country,Where did you hear about Everything Data?,How many years of learning experience do you have in the field of data?,Which track are you applying for?,How many hours per week can you commit to learning?,What is your main aim for joining the mentorship program?,What is your motivation to join the Everything Data mentorship program?,How best would you describe your skill level in the track you are applying for?,Have you completed the everything data aptitude test for your track?,Total score,Graduated
12/1/2024 23:50:47,DS301,18-24 years,Male,Kenya,Word of mouth,Less than six months,Data science,less than 6 hours,Upskill,to enter into the data analysis career,Beginner - I have NO learning or work experience in data analysis/ data science,Yes,58.67,No
12/3/2024 9:35:19,DS302,25-34 years,Male,Kenya,WhatsApp,6 months - 1 year,Data science,more than 14 hours,Upskill,To grow and improve my skills in data science and also move with the changing trends in the world of data.,Elementary - I have theoretical understanding of basic data analysis/ data science concepts,Yes,70.00,No
12/3/2024 19:16:49,DS303,18-24 years,Female,Kenya,WhatsApp,6 months - 1 year,Data science,more than 14 hours,Upskill,"I’m motivated to join Everything Data to enhance my data analysis skills, gain mentorship, and develop soft skills to tackle healthcare challenges in Kenya and advance my career in bioinformatics.",Intermediate - I have theoretical knowledge and experience in data analysis/ data science,Yes,64.33,Yes
12/3/2024 12:52:36,DS304,18-24 years,Female,Kenya,WhatsApp,6 months - 1 year,Data science,7-14 hours,Upskill,I'd like to upskill and Join the Data Community,Intermediate - I have theoretical knowledge and experience in data analysis/ data science,Yes,75.00,No
12/3/2024 18:12:27,DS305,18-24 years,Male,Kenya,WhatsApp,Less than six months,Data science,7-14 hours,Upskill,"I aim to join the mentorship program to enhance my data science skills and connect with industry experts, enabling me to impact economic, health, and environmental sectors.",Beginner - I have NO learning or work experience in data analysis/ data science,Yes,59.00,No
11/27/2024 10:40:39,DS306,25-34 years,Male,Kenya,WhatsApp,1-3 years,Data science,less than 6 hours,Upskill,The need to learn and get into understanding something and everything to do with data analytics and the application part and the inferences from data,Elementary - I have theoretical understanding of basic data analysis/ data science concepts,Yes,72.33,No
11/28/2024 14:42:45,DS307,18-24 years,Female,Kenya,WhatsApp,Less than six months,Data science,7-14 hours,Learn data afresh,To learn data science and develop skills necessary for my future ambitions,Beginner - I have NO learning or work experience in data analysis/ data science,Yes,73.33,No
12/3/2024 12:58:05,DS308,18-24 years,Male,Kenya,WhatsApp,Less than six months,Data science,more than 14 hours,Connect with fellow data professionals,I'm eager to gain a solid foundation in data fundamentals and learn from experienced mentors who can guide me on my learning journey.,Elementary - I have theoretical understanding of basic data analysis/ data science concepts,Yes,71.00,No
12/1/2024 22:02:23,DS309,25-34 years,Female,Kenya,Twitter,Less than six months,Data science,less than 6 hours,Upskill,I am inspired to make more data driven decisions in the business world.,Beginner - I have NO learning or work experience in data analysis/ data science,Yes,74.00,No
12/2/2024 13:29:00,DS310,18-24 years,Male,Kenya,LinkedIn,Less than six months,Data science,7-14 hours,Learn data afresh,"This program offers me an invaluable opportunity to acquire specialized knowledge, gain practical experience, and refine my analytical skills under the guidance of experienced mentors.",Beginner - I have NO learning or work experience in data analysis/ data science,Yes,82.50,No
12/3/2024 16:47:48,DS311,25-34 years,Female,Kenya,Twitter,6 months - 1 year,Data science,more than 14 hours,Build a project portfolio,To pivot to a Data Science career either by employment or freelance,Elementary - I have theoretical understanding of basic data analysis/ data science concepts,Yes,76.00,Yes
12/2/2024 23:59:16,DS312,18-24 years,Male,Kenya,WhatsApp,Less than six months,Data science,more than 14 hours,Upskill,My motivation to join the program stem from my passion for leveraging data to solve real-world problems and my desire to develop a strong foundation in data science. I see this program as a chance to gain hands on experience with real-world projects.,Elementary - I have theoretical understanding of basic data analysis/ data science concepts,Yes,60.00,No
12/3/2024 14:19:12,DS313,25-34 years,Male,Kenya,WhatsApp,Less than six months,Data science,7-14 hours,Upskill,Become a good data scientist and be able to work in freelance or in a company.,Beginner - I have NO learning or work experience in data analysis/ data science,Yes,64.00,No
11/27/2024 11:25:40,DS314,25-34 years,Male,Kenya,WhatsApp,6 months - 1 year,Data science,more than 14 hours,Learn data afresh,To learn more about data and change my profession to be a data scientist,Elementary - I have theoretical understanding of basic data analysis/ data science concepts,Yes,78.33,No
11/28/2024 9:11:46,DS315,18-24 years,Male,Kenya,LinkedIn,Less than six months,Data science,less than 6 hours,Build a project portfolio,"Desire to know more, grow and make an impact.",Beginner - I have NO learning or work experience in data analysis/ data science,Yes,67.00,No
12/3/2024 11:18:47,DS316,25-34 years,Male,Kenya,WhatsApp,Less than six months,Data science,more than 14 hours,Upskill,"I am thrilled to join the program so that I can upscale my skills in data analytics. With my experience in analytics, system administration and software development, I aim to enhance my technical proficiency, tackle real-world data challenges",Elementary - I have theoretical understanding of basic data analysis/ data science concepts,Yes,64.67,No
11/27/2024 9:19:48,DS317,18-24 years,Male,Kenya,LinkedIn,Less than six months,Data science,7-14 hours,Upskill,I am passionate to unskilled my passion for data science as the world is evolving to tech,Elementary - I have theoretical understanding of basic data analysis/ data science concepts,Yes,58.33,Yes
